1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux
0 -1.80664 0 -0.00070881 -1.4616e-05 0 -0.0160776 0 -0.000708718 -1.46159e-05 0 0.00563374
0 -1.75781 0 -0.000738204 -1.47644e-05 0 -0.0162408 0 -0.000738099 -1.47646e-05 0 0.00584025
0 -1.70899 0 -0.000767895 -1.49119e-05 0 -0.0164031 0 -0.000767776 -1.49125e-05 0 0.00606614
0 -1.66016 0 -0.000797879 -1.50575e-05 0 -0.0165632 0 -0.000797747 -1.50583e-05 0 0.00631441
0 -1.61133 0 -0.000828153 -1.51996e-05 0 -0.0167196 0 -0.000828006 -1.52008e-05 0 0.00658728
0 -1.5625 0 -0.000858707 -1.53368e-05 0 -0.0168705 0 -0.000858545 -1.53385e-05 0 0.00688652
0 -1.51367 0 -0.00088953 -1.54675e-05 0 -0.0170143 0 -0.000889353 -1.54696e-05 0 0.00721408
0 -1.46485 0 -0.000920606 -1.55899e-05 0 -0.0171489 0 -0.000920415 -1.55924e-05 0 0.00757267
0 -1.41602 0 -0.000951918 -1.5702e-05 0 -0.0172722 0 -0.000951712 -1.57051e-05 0 0.00796541
0 -1.36719 0 -0.000983442 -1.58019e-05 0 -0.0173821 0 -0.000983223 -1.58055e-05 0 0.00839586
0 -1.31836 0 -0.00101515 -1.58876e-05 0 -0.0174763 0 -0.00101492 -1.58917e-05 0 0.00886627
0 -1.26953 0 -0.00104702 -1.59568e-05 0 -0.0175525 0 -0.00104677 -1.59614e-05 0 0.00938278
0 -1.22071 0 -0.001079 -1.60074e-05 0 -0.0176082 0 -0.00107875 -1.60126e-05 0 0.00995311
0 -1.17188 0 -0.00111107 -1.60374e-05 0 -0.0176411 0 -0.0011108 -1.60431e-05 0 0.0105846
0 -1.12305 0 -0.00114317 -1.60446e-05 0 -0.0176491 0 -0.0011429 -1.60508e-05 0 0.0112793
0 -1.07422 0 -0.00117526 -1.60271e-05 0 -0.0176299 0 -0.00117498 -1.60338e-05 0 0.0120324
0 -1.02539 0 -0.00120729 -1.59831e-05 0 -0.0175814 0 -0.00120701 -1.59902e-05 0 0.0128478
0 -0.976565 0 -0.0012392 -1.59109e-05 0 -0.017502 0 -0.00123891 -1.59183e-05 0 0.0137342
0 -0.927737 0 -0.00127093 -1.5809e-05 0 -0.0173899 0 -0.00127065 -1.58167e-05 0 0.0146966
0 -0.878908 0 -0.00130243 -1.56763e-05 0 -0.0172439 0 -0.00130215 -1.56842e-05 0 0.0157292
0 -0.83008 0 -0.00133363 -1.55119e-05 0 -0.0170631 0 -0.00133335 -1.552e-05 0 0.0168233
0 -0.781252 0 -0.00136447 -1.53151e-05 0 -0.0168466 0 -0.0013642 -1.53233e-05 0 0.0179719
0 -0.732424 0 -0.00139487 -1.50858e-05 0 -0.0165944 0 -0.00139461 -1.50939e-05 0 0.0191767
0 -0.683596 0 -0.00142479 -1.4824e-05 0 -0.0163064 0 -0.00142454 -1.4832e-05 0 0.020441
0 -0.634768 0 -0.00145414 -1.453e-05 0 -0.015983 0 -0.00145391 -1.45379e-05 0 0.0217437
0 -0.58594 0 -0.00148288 -1.42043e-05 0 -0.0156248 0 -0.00148266 -1.42121e-05 0 0.0230626
0 -0.537112 0 -0.00151093 -1.38479e-05 0 -0.0152327 0 -0.00151073 -1.38554e-05 0 0.0243775
0 -0.488284 0 -0.00153823 -1.34616e-05 0 -0.0148078 0 -0.00153805 -1.34688e-05 0 0.0256625
