1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy 14:predicted_f 15:ff
0 -1.70899 0 0 0 0 0 0 0 0 0 0.0161214 3.30879e-05 0.114087 0
0 -1.66016 0 0 0 0 0 0 0 0 0 0.0161197 3.85504e-05 0.114088 0
0 -1.61133 0 0 0 0 0 0 0 0 0 0.0161181 4.38257e-05 0.114089 0
0 -1.5625 0 0 0 0 0 0 0 0 0 0.0161165 4.91676e-05 0.11409 0
0 -1.51367 0 0 0 0 0 0 0 0 0 0.016115 5.44462e-05 0.114092 0
0 -1.46485 0 0 0 0 0 0 0 0 0 0.0161135 5.95232e-05 0.114093 0
0 -1.41602 0 0 0 0 0 0 0 0 0 0.0161121 6.3803e-05 0.114094 0
0 -1.36719 0 0 0 0 0 0 0 0 0 0.0161108 6.74441e-05 0.114095 0
0 -1.31836 0 0 0 0 0 0 0 0 0 0.0161095 7.11283e-05 0.114096 0
0 -1.26953 0 0 0 0 0 0 0 0 0 0.0161084 7.49281e-05 0.114097 0
0 -1.22071 0 0 0 0 0 0 0 0 0 0.0161073 7.87236e-05 0.114099 0
0 -1.17188 0 0 0 0 0 0 0 0 0 0.0161063 8.23866e-05 0.1141 0
0 -1.12305 0 0 0 0 0 0 0 0 0 0.0161054 8.59219e-05 0.114101 0
0 -1.07422 0 0 0 0 0 0 0 0 0 0.0161046 8.93873e-05 0.114102 0
0 -1.02539 0 0 0 0 0 0 0 0 0 0.0161039 9.28785e-05 0.114103 0
0 -0.976565 0 0 0 0 0 0 0 0 0 0.0161033 9.64331e-05 0.114104 0
0 -0.927737 0 0 0 0 0 0 0 0 0 0.0161029 0.000100009 0.114106 0
0 -0.878908 0 0 0 0 0 0 0 0 0 0.0161026 0.000103391 0.114107 0
0 -0.83008 0 0 0 0 0 0 0 0 0 0.0161024 0.000106441 0.114108 0
0 -0.781252 0 0 0 0 0 0 0 0 0 0.0161024 0.000109426 0.114109 0
0 -0.732424 0 0 0 0 0 0 0 0 0 0.0161024 0.000112597 0.11411 0
0 -0.683596 0 0 0 0 0 0 0 0 0 0.0161026 0.000115949 0.114111 0
0 -0.634768 0 0 0 0 0 0 0 0 0 0.0161028 0.000119457 0.114113 0
0 -0.58594 0 0 0 0 0 0 0 0 0 0.0161031 0.000123163 0.114114 0
0 -0.537112 0 0 0 0 0 0 0 0 0 0.0161035 0.000126939 0.114115 0
0 -0.488284 0 0 0 0 0 0 0 0 0 0.0161038 0.000130595 0.114116 0
0 -0.439456 0 0 0 0 0 0 0 0 0 0.0161041 0.000134235 0.114117 0
0 -0.390628 0 0 0 0 0 0 0 0 0 0.0161044 0.000138004 0.114118 0
0 -0.3418 0 0 0 0 0 0 0 0 0 0.0161045 0.000142022 0.11412 0
0 -0.292972 0 0 0 0 0 0 0 0 0 0.0161044 0.000146269 0.114121 0
0 -0.244144 0 0 0 0 0 0 0 0 0 0.0161041 0.000150611 0.114122 0
0 -0.195315 0 0 0 0 0 0 0 0 0 0.0161036 0.00015479 0.114123 0
0 -0.146487 0 0 0 0 0 0 0 0 0 0.0161028 0.000158675 0.114124 0
0 -0.0976593 0 0 0 0 0 0 0 0 0 0.0161016 0.000162437 0.114125 0
0 -0.0488312 0 0 0 0 0 0 0 0 0 0.0161 0.000166192 0.114127 0
0 -3.125e-06 0 0 0 0 0 0 0 0 0 0.016098 0.000169901 0.114128 0
0 0.048825 0 0 0 0 0 0 0 0 0 0.0160956 0.000173447 0.114129 0
0 0.097653 0 0 0 0 0 0 0 0 0 0.0160928 0.000176937 0.11413 0
0 0.146481 0 0 0 0 0 0 0 0 0 0.0160896 0.000180392 0.114131 0
0 0.195309 0 0 0 0 0 0 0 0 0 0.0160861 0.000183493 0.114132 0
0 0.244137 0 0 0 0 0 0 0 0 0 0.0160823 0.000186381 0.114133 0
0 0.292965 0 0 0 0 0 0 0 0 0 0.0160783 0.000189323 0.114135 0
0 0.341793 0 0 0 0 0 0 0 0 0 0.0160741 0.000192078 0.114136 0
0 0.390621 0 0 0 0 0 0 0 0 0 0.0160698 0.000194541 0.114137 0
0 0.43945 0 0 0 0 0 0 0 0 0 0.0160654 0.000196786 0.114138 0
