# 1:x 2:y 3:p 4:u.x 5:u.y 6:g.x 7:g.y 8:pf 9:uf.x 10:uf.y 11:f 12:predicted_ux 13:predicted_uy
0 0.341793 0.00357755 -0.00229333 2.83353e-06 -0.146797 8.89086e-05 0.0047248 -0.0022922 2.50688e-06 0 -0.114429 -0.0344654
0 0.390621 0.00357246 -0.002287 3.48856e-06 -0.146589 0.000119698 0.00472376 -0.00228587 3.16063e-06 0 -0.114456 -0.0351288
0 0.43945 0.00356586 -0.00227945 4.14602e-06 -0.146318 0.00015089 0.0047201 -0.00227832 3.81682e-06 0 -0.114479 -0.0357668
0 0.488278 0.00355772 -0.00227068 4.80595e-06 -0.145985 0.000182535 0.00471379 -0.00226954 4.47547e-06 0 -0.1145 -0.0363704
0 0.537106 0.00354803 -0.00226068 5.46838e-06 -0.145588 0.000214684 0.00470483 -0.00225954 5.13659e-06 0 -0.114518 -0.03695
0 0.585934 0.00353676 -0.00224945 6.13333e-06 -0.145127 0.000247385 0.00469321 -0.00224831 5.80023e-06 0 -0.114534 -0.0375192
0 0.634762 0.00352387 -0.00223698 6.80084e-06 -0.144599 0.000280679 0.00467892 -0.00223584 6.46641e-06 0 -0.114547 -0.0380655
0 0.68359 0.00350935 -0.00222327 7.47092e-06 -0.144004 0.0003146 0.00466195 -0.00222213 7.13518e-06 0 -0.114559 -0.0386108
0 0.732418 0.00349315 -0.00220831 8.14356e-06 -0.14334 0.000349165 0.00464231 -0.00220718 7.80653e-06 0 -0.114569 -0.039123
0 0.781246 0.00347525 -0.0021921 8.81873e-06 -0.142606 0.000384378 0.00461998 -0.00219097 8.48045e-06 0 -0.114577 -0.0396216
0 0.830074 0.00345562 -0.00217464 9.49636e-06 -0.141802 0.000420223 0.004595 -0.00217351 9.15687e-06 0 -0.114583 -0.040115
0 0.878902 0.00343421 -0.00215592 1.01763e-05 -0.140925 0.00045667 0.00456739 -0.00215479 9.8357e-06 0 -0.114587 -0.0405806
0 0.92773 0.00341102 -0.00213594 1.08584e-05 -0.139974 0.000493675 0.0045372 -0.00213481 1.05168e-05 0 -0.114589 -0.0410529
0 0.976558 0.003386 -0.00211468 1.15425e-05 -0.138949 0.000531183 0.00450449 -0.00211356 1.12e-05 0 -0.11459 -0.0414952
0 1.02539 0.00335915 -0.00209216 1.22283e-05 -0.137848 0.000569139 0.00446935 -0.00209104 1.1885e-05 0 -0.114589 -0.041917
0 1.07421 0.00333042 -0.00206836 1.29156e-05 -0.136671 0.000607496 0.00443188 -0.00206724 1.25716e-05 0 -0.114587 -0.042323
0 1.12304 0.00329982 -0.00204328 1.3604e-05 -0.135417 0.000646221 0.0043922 -0.00204217 1.32594e-05 0 -0.114582 -0.0427092
0 1.17187 0.00326732 -0.00201693 1.42932e-05 -0.134084 0.000685302 0.00435044 -0.00201582 1.39482e-05 0 -0.114577 -0.043087
0 1.2207 0.0032329 -0.00198929 1.4983e-05 -0.132673 0.000724758 0.00430673 -0.00198819 1.46377e-05 0 -0.114569 -0.0430958
0 1.26953 0.00319654 -0.00196037 1.56729e-05 -0.131183 0.000764639 0.00426121 -0.00195927 1.53274e-05 0 -0.114561 -0.0431029
0 1.31835 0.00315822 -0.00193017 1.63627e-05 -0.129612 0.000805025 0.004214 -0.00192908 1.60172e-05 0 -0.114554 -0.0431088
0 1.36718 0.00311792 -0.00189869 1.70521e-05 -0.127959 0.00084602 0.00416521 -0.00189761 1.67067e-05 0 -0.114546 -0.0431138
0 1.41601 0.0030756 -0.00186593 1.77407e-05 -0.126224 0.000887744 0.00411491 -0.00186486 1.73955e-05 0 -0.114539 -0.0431178
0 1.46484 0.00303123 -0.00183189 1.8428e-05 -0.124404 0.000930315 0.00406318 -0.00183083 1.80833e-05 0 -0.114531 -0.0431208
0 1.51367 0.00298475 -0.00179657 1.91136e-05 -0.122498 0.000973843 0.00401005 -0.00179552 1.87697e-05 0 -0.114524 -0.0431235
0 1.5625 0.00293613 -0.00175998 1.97968e-05 -0.120503 0.00101841 0.00395554 -0.00175894 1.9454e-05 0 -0.114517 -0.0431262
0 1.61132 0.0028853 -0.00172211 2.0477e-05 -0.118418 0.00106404 0.00389967 -0.00172109 2.01357e-05 0 -0.114509 -0.0431287
0 1.66015 0.00283222 -0.00168298 2.11532e-05 -0.11624 0.00111074 0.00384244 -0.00168197 2.0814e-05 0 -0.114502 -0.0431309
0 1.70898 0.00277683 -0.00164259 2.18245e-05 -0.113967 0.00115845 0.00378387 -0.0016416 2.14878e-05 0 -0.114495 -0.0431325
0 1.75781 0.00271909 -0.00160095 2.24897e-05 -0.111598 0.00120712 0.00372401 -0.00159998 2.21561e-05 0 -0.114487 -0.0431337
0 1.80664 0.00265895 -0.00155808 2.3148e-05 -0.10913 0.00125676 0.0036629 -0.00155712 2.28178e-05 0 -0.11448 -0.0431348
0 1.85546 0.00259636 -0.00151397 2.37983e-05 -0.106561 0.00130744 0.00360056 -0.00151304 2.34719e-05 0 -0.114473 -0.0431355
0 1.90429 0.00253127 -0.00146866 2.44398e-05 -0.103889 0.00135931 0.00353695 -0.00146775 2.41176e-05 0 -0.114467 -0.0431358
0 1.95312 0.00246361 -0.00142215 2.50716e-05 -0.101112 0.00141248 0.00347196 -0.00142127 2.47542e-05 0 -0.11446 -0.0431359
0 2.00195 0.00239333 -0.00137446 2.56926e-05 -0.0982264 0.00146692 0.00340543 -0.00137361 2.53808e-05 0 -0.114454 -0.0431357
0 2.05078 0.00232036 -0.00132561 2.63011e-05 -0.0952308 0.00152235 0.00333715 -0.00132479 2.5996e-05 0 -0.114447 -0.0431354
0 2.0996 0.00224466 -0.00127563 2.68952e-05 -0.0921232 0.0015783 0.00326694 -0.00127484 2.65979e-05 0 -0.114441 -0.0431348
0 2.14843 0.00216623 -0.00122454 2.74728e-05 -0.088903 0.00163429 0.00319467 -0.00122378 2.71842e-05 0 -0.114435 -0.0431342
0 2.19726 0.00208506 -0.00117237 2.80321e-05 -0.0855707 0.00169006 0.00312027 -0.00117165 2.77527e-05 0 -0.11443 -0.0431335
0 2.24609 0.00200118 -0.00111916 2.85722e-05 -0.0821265 0.00174575 0.00304363 -0.00111847 2.83021e-05 0 -0.114425 -0.0431328
0 2.29492 0.00191458 -0.00106495 2.90928e-05 -0.0785701 0.00180184 0.00296456 -0.0010643 2.88318e-05 0 -0.114419 -0.0431322
0 2.34374 0.00182522 -0.00100976 2.95939e-05 -0.0749004 0.00185876 0.0028827 -0.00100915 2.93423e-05 0 -0.114415 -0.0431317
0 2.39257 0.00173306 -0.000953637 3.00751e-05 -0.0711155 0.00191657 0.00279763 -0.000953074 2.98337e-05 0 -0.11441 -0.0431314
0 2.4414 0.00163806 -0.000896613 3.05348e-05 -0.0672139 0.00197472 0.00270897 -0.000896094 3.03051e-05 0 -0.114406 -0.0431312
0 2.49023 0.00154022 -0.000838731 3.09701e-05 -0.0631961 0.00203218 0.00261664 -0.000838257 3.07538e-05 0 -0.114401 -0.0431312
0 2.53906 0.0014396 -0.000780039 3.13804e-05 -0.0590646 0.00208874 0.00252089 -0.00077961 3.11758e-05 0 -0.114398 -0.0431311
0 2.58788 0.00133624 -0.000720581 3.17676e-05 -0.0548206 0.00214544 0.00242148 -0.000720197 3.15731e-05 0 -0.114394 -0.0431311
0 2.63671 0.00123009 -0.0006604 3.21288e-05 -0.0504636 0.00220085 0.00231695 -0.000660055 3.19519e-05 0 -0.114391 -0.0431311
0 2.68554 0.00112131 -0.000599553 3.24534e-05 -0.046 0.00225023 0.00220573 -0.000599243 3.23006e-05 0 -0.114388 -0.0431311
0 2.73437 0.00101034 -0.00053812 3.2739e-05 -0.0414456 0.00229293 0.00208691 -0.000537849 3.26012e-05 0 -0.114385 -0.0431312
0 2.7832 0.000897392 -0.000476164 3.30006e-05 -0.0368086 0.0023354 0.00195917 -0.00047594 3.28653e-05 0 -0.114383 -0.0431312
